feature,selected_count,selection_frequency,variance_dropped_count,variance_dropped_fraction,correlation_dropped_count,correlation_dropped_fraction,total_dropped_count,total_dropped_fraction,shap_class0_all_folds,shap_class0_selected_only,shap_class1_all_folds,shap_class1_selected_only,shap_balanced_all_folds,shap_balanced_selected_only,permutation_f1_all_folds,permutation_f1_selected_only,permutation_balanced_acc_all_folds,permutation_balanced_acc_selected_only,permutation_pr_auc_all_folds,permutation_pr_auc_selected_only
SV - RightAccumbensArea,7,0.28,0,0.0,0,0.0,0,0.0,4.542933798534622e-05,0.00016224763566195078,5.779659883827549e-05,0.00020641642442241245,5.161296841181086e-05,0.00018433203004218163,-0.00011396196138942426,-0.0004070070049622295,-0.00017158416721482954,-0.0006128005971958197,-0.0002044301769029655,-0.0007301077746534482
CT - LeftSupramarginal,19,0.76,0,0.0,0,0.0,0,0.0,3.579979788928758e-05,4.710499722274681e-05,5.6120899700951006e-05,7.38432890801987e-05,4.596034879511929e-05,6.047414315147275e-05,-0.0007401677544776135,-0.000973904940102123,-0.000700204274409621,-0.0009213214136968697,-0.0006313813706559507,-0.0008307649613894088
CTS - LeftParacentral,9,0.36,0,0.0,0,0.0,0,0.0,1.6202022222476604e-05,4.500561728465723e-05,7.199599055265737e-05,0.00019998886264627048,4.409900638756699e-05,0.00012249723996546384,-0.00014859114146452477,-0.0004127531707347911,-0.00011347367810221404,-0.000315204661395039,-9.57520343163807e-05,-0.0002659778731010575
SV - TotalGM,9,0.36,0,0.0,2,0.08,2,0.08,2.1108646870886434e-05,5.863513019690676e-05,6.588259084156092e-05,0.00018300719678211364,4.3495618856223675e-05,0.00012082116348951019,-0.0001430912293936183,-0.0003974756372044953,-0.00010072610269916869,-0.00027979472971991306,5.243860785793671e-05,0.00014566279960537975
SV - LeftCorticalGM,8,0.32,0,0.0,0,0.0,0,0.0,3.934140018428798e-05,0.00012294187557589992,4.4111657271802236e-05,0.000137848928974382,4.172652872804511e-05,0.00013039540227514096,-0.00020212967134676518,-0.0006316552229586412,-0.0002057774698478511,-0.0006430545932745346,7.74978257344327e-05,0.0002421807054201022
CTS - LeftParahippocampal,2,0.08,0,0.0,0,0.0,0,0.0,3.925525556021815e-05,0.0004906906945027269,3.913321244917951e-05,0.0004891651556147439,3.919423400469883e-05,0.0004899279250587354,-1.7622568980980446e-05,-0.00022028211226225557,-7.124454492875021e-06,-8.905568116093776e-05,9.930968276452151e-05,0.001241371034556519
SV - CorpusCallosumMidAnterior,2,0.08,0,0.0,0,0.0,0,0.0,3.544594130803729e-05,0.0004430742663504661,3.931509472721956e-05,0.0004914386840902445,3.7380518017628424e-05,0.0004672564752203553,2.215196407088129e-05,0.00027689955088601616,2.0277224194073895e-05,0.0002534653024259237,0.0003197920753651883,0.003997400942064854
CT - LeftParahippocampal,8,0.32,0,0.0,0,0.0,0,0.0,3.544745568761825e-05,0.00011077329902380704,3.1645517305077964e-05,9.889224157836864e-05,3.354648649634811e-05,0.00010483277030108784,-0.00013810743407141084,-0.0004315857314731589,-0.00020434092298543413,-0.0006385653843294817,0.000245806330602097,0.0007681447831315532
CT - LeftSuperiorFrontal,12,0.48,0,0.0,0,0.0,0,0.0,4.4522357063589475e-05,9.275491054914474e-05,1.78385302871803e-05,3.716360476495896e-05,3.1180443675384886e-05,6.495925765705185e-05,-0.0006041392054549438,-0.0012586233446977995,-0.0006510444848220251,-0.0013563426767125523,-0.00036713184069928697,-0.0007648580014568479
CV - LeftParahippocampal,5,0.2,0,0.0,0,0.0,0,0.0,3.606358022508309e-05,0.00018031790112541546,2.5570589603033613e-05,0.00012785294801516807,3.0817084914058356e-05,0.00015408542457029178,6.98053284620915e-05,0.0003490266423104575,0.00011723382135244176,0.0005861691067622088,-0.00019075895129809942,-0.0009537947564904972
CT - LeftSuperiorParietal,17,0.68,0,0.0,0,0.0,0,0.0,2.669589945642053e-05,3.9258675671206664e-05,3.3049538614382006e-05,4.860226266820883e-05,2.987271903540127e-05,4.3930469169707744e-05,-0.00035594856110382456,-0.0005234537663291538,-0.0003484268762031462,-0.0005123924650046268,-0.00040991610883675945,-0.0006028178071128815
CV - LeftPrecuneus,4,0.16,0,0.0,0,0.0,0,0.0,2.6550543913891017e-05,0.00016594089946181886,3.22623232129708e-05,0.0002016395200810675,2.9406433563430908e-05,0.0001837902097714432,0.00031779710816788104,0.0019862319260492566,0.00033003767919695935,0.002062735494980996,0.00018626143143436532,0.0011641339464647832
CV - LeftSuperiorTemporal,4,0.16,0,0.0,0,0.0,0,0.0,4.16984372874821e-05,0.00026061523304676316,1.531959879512488e-05,9.57474924695305e-05,2.8509018041303492e-05,0.00017818136275814684,-0.0005242543244901297,-0.003276589528063311,-0.00042797839061246645,-0.0026748649413279152,-0.0005508589860869788,-0.0034428686630436174
CV - RightPrecuneus,11,0.44,0,0.0,0,0.0,0,0.0,3.4076868988542024e-05,7.74474295194137e-05,2.1573029837813977e-05,4.902961326775904e-05,2.7824949413178002e-05,6.323852139358637e-05,9.508625997112292e-05,0.00021610513629800662,8.756921076658168e-05,0.00019902093356041292,-0.0004257391166734136,-0.0009675889015304855
CTS - RightSuperiorFrontal,11,0.44,0,0.0,0,0.0,0,0.0,2.8489680265446263e-05,6.474927333055968e-05,2.128289577102647e-05,4.8370217661423796e-05,2.488628801823637e-05,5.655974549599174e-05,-0.00017160751728984027,-0.000390017084749637,-0.00015104251426403866,-0.0003432784415091788,-0.00016757534065771026,-0.0003808530469493415
CV - LeftIsthmusCingulate,4,0.16,0,0.0,0,0.0,0,0.0,2.3286640600592626e-05,0.0001455415037537039,2.5130558011113406e-05,0.0001570659875694588,2.4208599305853014e-05,0.00015130374566158135,-2.3160800465008803e-05,-0.00014475500290630502,-2.8781366126497597e-05,-0.00017988353829061,-7.22658568121961e-05,-0.0004516616050762257
CV - LeftParsTriangularis,3,0.12,0,0.0,0,0.0,0,0.0,2.7520466776989715e-05,0.00022933722314158095,2.0612487303113556e-05,0.0001717707275259463,2.4066477040051636e-05,0.00020055397533376364,0.00015653240722743702,0.0013044367268953084,0.000125372889353933,0.0010447740779494419,-0.00018282057374023361,-0.0015235047811686135
