fs_col,fs_description
ST35TS,CTS - LeftLateralOccipital
ST36CV,CV - LeftLateralOrbitofrontal
ST36SA,SA - LeftLateralOrbitofrontal
ST36TA,CT - LeftLateralOrbitofrontal
ST36TS,CTS - LeftLateralOrbitofrontal
ST37SV,SV - LeftLateralVentricle
ST38CV,CV - LeftLingual
ST38SA,SA - LeftLingual
ST38TA,CT - LeftLingual
ST38TS,CTS - LeftLingual
ST39CV,CV - LeftMedialOrbitofrontal
ST39SA,SA - LeftMedialOrbitofrontal
ST39TA,CT - LeftMedialOrbitofrontal
ST39TS,CTS - LeftMedialOrbitofrontal
ST3SV,SV - CorpusCallosumCentral
ST40CV,CV - LeftMiddleTemporal
ST40SA,SA - LeftMiddleTemporal
ST40TA,CT - LeftMiddleTemporal
ST40TS,CTS - LeftMiddleTemporal
ST42SV,SV - LeftPallidum
ST43CV,CV - LeftParacentral
ST43SA,SA - LeftParacentral
ST43TA,CT - LeftParacentral
ST43TS,CTS - LeftParacentral
ST44CV,CV - LeftParahippocampal
ST44SA,SA - LeftParahippocampal
ST44TA,CT - LeftParahippocampal
ST44TS,CTS - LeftParahippocampal
ST45CV,CV - LeftParsOpercularis
ST45SA,SA - LeftParsOpercularis
ST45TA,CT - LeftParsOpercularis
ST45TS,CTS - LeftParsOpercularis
ST46CV,CV - LeftParsOrbitalis
ST46SA,SA - LeftParsOrbitalis
ST46TA,CT - LeftParsOrbitalis
ST46TS,CTS - LeftParsOrbitalis
ST47CV,CV - LeftParsTriangularis
ST47SA,SA - LeftParsTriangularis
ST47TA,CT - LeftParsTriangularis
ST47TS,CTS - LeftParsTriangularis
ST48CV,CV - LeftPericalcarine
ST48SA,SA - LeftPericalcarine
ST48TA,CT - LeftPericalcarine
ST48TS,CTS - LeftPericalcarine
ST49CV,CV - LeftPostcentral
ST49SA,SA - LeftPostcentral
ST49TA,CT - LeftPostcentral
ST49TS,CTS - LeftPostcentral
ST4SV,SV - CorpusCallosumMidAnterior
ST50CV,CV - LeftPosteriorCingulate
ST50SA,SA - LeftPosteriorCingulate
ST50TA,CT - LeftPosteriorCingulate
ST50TS,CTS - LeftPosteriorCingulate
ST51CV,CV - LeftPrecentral
ST51SA,SA - LeftPrecentral
ST51TA,CT - LeftPrecentral
ST51TS,CTS - LeftPrecentral
ST52CV,CV - LeftPrecuneus
ST52SA,SA - LeftPrecuneus
ST52TA,CT - LeftPrecuneus
ST52TS,CTS - LeftPrecuneus
ST53SV,SV - LeftPutamen
ST54CV,CV - LeftRostralAnteriorCingulate
ST54SA,SA - LeftRostralAnteriorCingulate
ST54TA,CT - LeftRostralAnteriorCingulate
ST54TS,CTS - LeftRostralAnteriorCingulate
ST55CV,CV - LeftRostralMiddleFrontal
ST55SA,SA - LeftRostralMiddleFrontal
ST55TA,CT - LeftRostralMiddleFrontal
ST55TS,CTS - LeftRostralMiddleFrontal
ST56CV,CV - LeftSuperiorFrontal
ST56SA,SA - LeftSuperiorFrontal
ST56TA,CT - LeftSuperiorFrontal
ST56TS,CTS - LeftSuperiorFrontal
ST57CV,CV - LeftSuperiorParietal
ST57SA,SA - LeftSuperiorParietal
ST57TA,CT - LeftSuperiorParietal
ST57TS,CTS - LeftSuperiorParietal
ST58CV,CV - LeftSuperiorTemporal
ST58SA,SA - LeftSuperiorTemporal
ST58TA,CT - LeftSuperiorTemporal
ST58TS,CTS - LeftSuperiorTemporal
ST59CV,CV - LeftSupramarginal
ST59SA,SA - LeftSupramarginal
ST59TA,CT - LeftSupramarginal
ST59TS,CTS - LeftSupramarginal
ST5SV,SV - CorpusCallosumMidPosterior
ST60CV,CV - LeftTemporalPole
ST60SA,SA - LeftTemporalPole
ST60TA,CT - LeftTemporalPole
ST60TS,CTS - LeftTemporalPole
ST61SV,SV - LeftThalamus
ST62CV,CV - LeftTransverseTemporal
ST62SA,SA - LeftTransverseTemporal
ST62TA,CT - LeftTransverseTemporal
ST62TS,CTS - LeftTransverseTemporal
ST65SV,SV - LeftVentralDC
ST66SV,SV - LeftVessel
ST69SV,SV - OpticChiasm
ST6SV,SV - CorpusCallosumPosterior
ST70SV,SV - RightAccumbensArea
ST71SV,SV - RightAmygdala
ST72CV,CV - RightBankssts
ST72SA,SA - RightBankssts
ST72TA,CT - RightBankssts
ST72TS,CTS - RightBankssts
ST73CV,CV - RightCaudalAnteriorCingulate
ST73SA,SA - RightCaudalAnteriorCingulate
ST73TA,CT - RightCaudalAnteriorCingulate
ST73TS,CTS - RightCaudalAnteriorCingulate
ST74CV,CV - RightCaudalMiddleFrontal
ST74SA,SA - RightCaudalMiddleFrontal
ST74TA,CT - RightCaudalMiddleFrontal
ST74TS,CTS - RightCaudalMiddleFrontal
ST75SV,SV - RightCaudate
ST76SV,SV - RightCerebellumCortex
ST77SV,SV - RightCerebellumWM
ST7SV,SV - Csf
ST80SV,SV - RightChoroidPlexus
ST82CV,CV - RightCuneus
ST82SA,SA - RightCuneus
ST82TA,CT - RightCuneus
ST82TS,CTS - RightCuneus
ST83CV,CV - RightEntorhinal
ST83SA,SA - RightEntorhinal
ST83TA,CT - RightEntorhinal
ST83TS,CTS - RightEntorhinal
ST84CV,CV - RightFrontalPole
ST84SA,SA - RightFrontalPole
ST84TA,CT - RightFrontalPole
ST84TS,CTS - RightFrontalPole
ST85CV,CV - RightFusiform
ST85SA,SA - RightFusiform
ST85TA,CT - RightFusiform
ST85TS,CTS - RightFusiform
ST87SA,SA - RightHemisphereWM
ST88SV,SV - RightHippocampus
ST89SV,SV - RightInferiorLateralVentricle
ST90CV,CV - RightInferiorParietal
ST90SA,SA - RightInferiorParietal
ST90TA,CT - RightInferiorParietal
ST90TS,CTS - RightInferiorParietal
ST91CV,CV - RightInferiorTemporal
ST91SA,SA - RightInferiorTemporal
ST91TA,CT - RightInferiorTemporal
ST91TS,CTS - RightInferiorTemporal
ST93CV,CV - RightIsthmusCingulate
ST93SA,SA - RightIsthmusCingulate
ST93TA,CT - RightIsthmusCingulate
ST93TS,CTS - RightIsthmusCingulate
ST94CV,CV - RightLateralOccipital
ST94SA,SA - RightLateralOccipital
ST94TA,CT - RightLateralOccipital
ST94TS,CTS - RightLateralOccipital
ST95CV,CV - RightLateralOrbitofrontal
ST95SA,SA - RightLateralOrbitofrontal
ST95TA,CT - RightLateralOrbitofrontal
ST95TS,CTS - RightLateralOrbitofrontal
ST96SV,SV - RightLateralVentricle
ST97CV,CV - RightLingual
ST97SA,SA - RightLingual
ST97TA,CT - RightLingual
ST97TS,CTS - RightLingual
ST98CV,CV - RightMedialOrbitofrontal
ST98SA,SA - RightMedialOrbitofrontal
ST98TA,CT - RightMedialOrbitofrontal
ST98TS,CTS - RightMedialOrbitofrontal
ST99CV,CV - RightMiddleTemporal
ST99SA,SA - RightMiddleTemporal
ST99TA,CT - RightMiddleTemporal
ST99TS,CTS - RightMiddleTemporal
ST9SV,SV - FourthVentricle
ST147SV,SV - LeftCorticalGM
ST148SV,SV - RightCorticalGM
ST149SV,SV - CorticalGM
ST150SV,SV - LeftCorticalWM
ST151SV,SV - RightCorticalWM
ST152SV,SV - CorticalWM
ST153SV,SV - SubcorticalGM
ST154SV,SV - TotalGM
ST155SV,SV - SupraTentorial
